Township	SubDivision	Region
Abong-Mbang	Haut-Nyong	East
Afanloum	Méfou-et-Afamba	Center
Ako	Donga Mantung	NorthWest
Akoeman	Nyong-et-So'o	Center
Akom II	Océan	South
Akono	Méfou-et-Akono	Center
Akonolinga	Nyong-et-Mfoumou	Center
Akwaya	Manyu	SouthWest
Alou	Lebialem	SouthWest
Ambam	Vallée du Ntem	South
Andek	Momo	NorthWest
Angossas	Haut-Nyong	East
Atok	Haut-Nyong	East
Awaé	Méfou-et-Afamba	Center
Ayos	Nyong-et-Mfoumou	Center
Babadjou	Bamboutos	West
Babessi	Ngo-Ketunjia	NorthWest
Babouantou	Haut-Nkam	West
Bafang	Haut-Nkam	West
Bafia	Mbam-et-Inoubou	Center
Bafou	Haut-Nkam	West
Bafoussam	Mifi	West
Bafut	Mezam	NorthWest
Baham	Hauts-Plateaux	West
Bali	Mezam	NorthWest
Balikumbat	Ngo-Ketunjia	NorthWest
Bamenda	Mezam	NorthWest
Bamendjou	Hauts-Plateaux	West
Bamuso	Ndian	SouthWest
Bana	Haut-Nkam	West
Bandja	Haut-Nkam	West
Bandjoun	Koung-Khi	West
Bangangté	Ndé	West
Bangem	Koupé et Manengouba	SouthWest
Banka	Haut-Nkam	West
Bangou	Hauts-Plateaux	West
Bangourain	Noun	West
Bankim	Mayo-Banyo	Adamaoua
Banyo	Mayo-Banyo	Adamaoua
Baré	Mungo	Littoral
Bashéo	Bénoué	North
Bassamba	Ndé	West
Batcham	Bamboutos	West
Batchenga	Lékié	Center
Batibo	Momo	NorthWest
Batié	Hauts-Plateaux	West
Batoufam	Koung-Khi	West
Batouri	Kadey	East
Bayangam	Koung-Khi	West
Bazou	Ndé	West
Beka	Faro	North
Bélabo	Lom-et-Djérem	East
Belel	Vina	Adamaoua
Belo	Boyo	NorthWest
Benakuma	Menchum	NorthWest
Bengbis	Dja et Lobo	South
Bertoua	Lom-et-Djérem	East
Bétaré-Oya	Lom-et-Djérem	East
Bibemi	Bénoué	North
Bibey	Haute- Sanaga	Center
Bikok	Méfou-et-Akono	Center
Bipindi	Océan	South
Biwong-Bane	Mvila	South
Biwong-Bulu	Mvila	South
Biyouha	Nyong-et-Kéllé	Center
Blangoua	Logone-et-Chari	FarNorth
Bokito	Mbam-et-Inoubou	Center
Bonaléa	Mungo	Littoral
Bondjock	Nyong-et-Kéllé	Center
Bot-Makak	Nyong-et-Kéllé	Center
Bourrha	Mayo-Tsanaga	FarNorth
Buéa	Fako	SouthWest
Campo	Océan	South
Dargala	Diamaré	FarNorth
Darak	Diamaré	FarNorth
Datcheka	Mayo-Danay	FarNorth
Dembo	Bénoué	North
Demding	Koung-Khi	West
Deuk	Mbam-et-Inoubou	Center
Diang	Lom-et-Djérem	East
Dibamba	Sanaga-Maritime	Littoral
Dibang	Nyong-et-Kéllé	Center
Dibombari	Mungo	Littoral
Dikome-Balue	Ndian	SouthWest
Dimako	Haut-Nyong	East
Dir	Mbéré	Adamaoua
Dizangué	Sanaga-maritime	Littoral
Djohong	Mbéré	Adamaoua
Djoum	Dja et Lobo	South
Douala	Wouri	Littoral
Doumaintang	Haut-Nyong	East
Doumé	Haut-Nyong	East
Dschang	Menoua	West
Dzeng	Nyong-et-So'o	Center
Dziguilao	Mayo-kani	FarNorth
Ebebda	Lékié	Center
Ebolowa	Mvila	South
Ebone	Mungo	Littoral
Édéa	Sanaga maritime	Littoral
Edzendouan	Méfou-et-Afamba	Center
Efoulan	Mvila	South
Ekondo-Titi	Ndian	SouthWest
Elak-Oku	Bui	NorthWest
Elig-Mfomo	Lékié	Center
Endom	Nyong-et-Mfoumou	Center
Éséka	Nyong et Kellé	Center
Esse	Méfou-et-Afamba	Center
Evodoula	Lékié	Center
Eyumodjock	Manyu	SouthWest
Figuil	Mayo-Louti	North
Fokoué	Menoua	West
Fonfuka	Boyo	NorthWest
Fongo-Tongo	Menoua	West
Fotokol	Logone-et-Chari	FarNorth
Foumban	Noun	West
Foumbot	Noun	West
Fundong	Boyo	NorthWest
Furu-Awa	Menchum	NorthWest
Galim	Bamboutos	West
Galim-Tignère	Faro-et-Déo	Adamaoua
Gari-Gombo	Boumba-et-Ngoko	East
Garoua	Bénoué	North
Garoua-Boulaï	Lom-et-Djérem	East
Gashiga	Bénoué	North
Gawaza	Diamaré	FarNorth
Gobo	Mayo-Danay	FarNorth
Goulfey	Logone-et-Chari	FarNorth
Gueme	Mayo-Danay	FarNorth
Guere	Mayo-Danay	FarNorth
Guider	Mayo-Louti	North
Guider	Mayo-Rey	North
Guidiguis	Mayo-kani	FarNorth
Hile-Alifa	Logone-et-Chari	FarNorth
Hina	Mayo-Tsanaga	FarNorth
Idabato	Ndian	SouthWest
West Coast	Fako	SouthWest
Isanguele	Ndian	SouthWest
Jakiri	Bui	NorthWest
Kaélé	Mayo-kani	FarNorth
Kai-Kai	Mayo-Danay	FarNorth
Kalfou	Mayo-Danay	FarNorth
Kay-Hay	Mayo-Danay	FarNorth
Kékem	Haut-Nkam	West
Kentzou	Kadey	East
Kette	Kadey	East
Kiiki	Mbam-et-Inoubou	Center
Kobdombo	Nyong-et-Mfoumou	Center
Kolofata	Mayo-sava	FarNorth
Kombo-Abedimo	Ndian	SouthWest
Kombo-Idinti	Ndian	SouthWest
Kon-Yambetta	Mbam-et-Inoubou	Center
Kongso-Bamougoum	Mifi	West
Kontcha	Faro-et-Déo	Adamaoua
Konye	Meme	SouthWest
Kouoptamo	Noun	West
Kousséri	Logone-et-Chari	FarNorth
Koutaba	Noun	West
Koza	Mayo-Tsanaga	FarNorth
Kribi	Océan	South
Kumba	Meme	SouthWest
Kumbo	Bui	NorthWest
Lafé-Baleng	Mifi	West
Lagdo	Bénoué	North
Lembe-Yezoum	Haute- Sanaga	Center
Limbé	Fako	SouthWest
Lobo	Lékié	Center
Logone-Birni	Logone-et-Chari	FarNorth
Lokoundje	Océan	South
Lolodorf	Océan	South
Lomié	Haut-Nyong	East
Loum	Mungo	Littoral
Ma'an	Vallée du Ntem	South
Mabanga	Vina	Adamaoua
Maga	Mayo-Danay	FarNorth
Magba	Noun	West
Maikari	Logone-et-Chari	FarNorth
Makak	Nyong-et-Kéllé	Center
